Ticker, MarketName, GroupName
ABBANK,Bank,Category - B
ALARABANK,Bank,Category - A
BANKASIA,Bank,Category - A
BRACBANK,Bank,Category - A
CITYBANK,Bank,Category - A
DHAKABANK,Bank,Category - A
DUTCHBANGL,Bank,Category - A
EBL,Bank,Category - A
EXIMBANK,Bank,Category - A
FIRSTSBANK,Bank,Category - Z
GIB,Bank,Category - Z
ICBIBANK,Bank,Category - Z
IFIC,Bank,Category - B
ISLAMIBANK,Bank,Category - A
JAMUNABANK,Bank,Category - A
MERCANBANK,Bank,Category - A
MIDLANDBNK,Bank,Category - B
MTB,Bank,Category - A
NBL,Bank,Category - Z
NCCBANK,Bank,Category - A
NRBBANK,Bank,Category - A
NRBCBANK,Bank,Category - A
ONEBANKPLC,Bank,Category - B
PREMIERBAN,Bank,Category - A
PRIMEBANK,Bank,Category - A
PUBALIBANK,Bank,Category - A
RUPALIBANK,Bank,Category - B
SBACBANK,Bank,Category - B
SHAHJABANK,Bank,Category - A
SIBL,Bank,Category - A
SOUTHEASTB,Bank,Category - A
STANDBANKL,Bank,Category - B
TRUSTBANK,Bank,Category - A
UCB,Bank,Category - A
UNIONBANK,Bank,Category - Z
UTTARABANK,Bank,Category - A
ARAMITCEM,Cement,Category - Z
CONFIDCEM,Cement,Category - A
CROWNCEMNT,Cement,Category - A
HEIDELBCEM,Cement,Category - A
LHB,Cement,Category - A
MEGHNACEM,Cement,Category - Z
PREMIERCEM,Cement,Category - A
FUWANGCER,Ceramics Sector,Category - B
MONNOCERA,Ceramics Sector,Category - B
RAKCERAMIC,Ceramics Sector,Category - A
SPCERAMICS,Ceramics Sector,Category - B
STANCERAM,Ceramics Sector,Category - Z
ABBLPBOND,Corporate Bond,Category - N/A
AIBLPBOND,Corporate Bond,Category - N/A
APSCLBOND,Corporate Bond,Category - N/A
BANKASI1PB,Corporate Bond,Category - N/A
BEXGSUKUK,Corporate Bond,Category - N/A
CBLPBOND,Corporate Bond,Category - N/A
DBLPBOND,Corporate Bond,Category - N/A
IBBL2PBOND,Corporate Bond,Category - N/A
IBBLPBOND,Corporate Bond,Category - N/A
MBPLCPBOND,Corporate Bond,Category - N/A
MTBPBOND,Corporate Bond,Category - N/A
PBLPBOND,Corporate Bond,Category - N/A
PREBPBOND,Corporate Bond,Category - N/A
SEB1PBOND,Corporate Bond,Category - N/A
SJIBLPBOND,Corporate Bond,Category - N/A
UCB2PBOND,Corporate Bond,Category - N/A
DEBARACEM,Debenture,Category - N/A
DEBBDLUGG,Debenture,Category - N/A
DEBBDWELD,Debenture,Category - N/A
DEBBDZIPP,Debenture,Category - N/A
DEBBXDENIM,Debenture,Category - N/A
DEBBXFISH,Debenture,Category - N/A
DEBBXKNI,Debenture,Category - N/A
DEBBXTEX,Debenture,Category - N/A
AFTABAUTO,Engineering,Category - Z
ANWARGALV,Engineering,Category - A
APOLOISPAT,Engineering,Category - Z
ATLASBANG,Engineering,Category - Z
AZIZPIPES,Engineering,Category - Z
BBS,Engineering,Category - B
BBSCABLES,Engineering,Category - B
BDAUTOCA,Engineering,Category - B
BDLAMPS,Engineering,Category - A
BDTHAI,Engineering,Category - B
BENGALWTL,Engineering,Category - B
BSRMLTD,Engineering,Category - A
BSRMSTEEL,Engineering,Category - A
COPPERTECH,Engineering,Category - B
DESHBANDHU,Engineering,Category - B
DOMINAGE,Engineering,Category - B
ECABLES,Engineering,Category - B
GOLDENSON,Engineering,Category - B
GPHISPAT,Engineering,Category - B
IFADAUTOS,Engineering,Category - B
KAY&QUE,Engineering,Category - B
KDSALTD,Engineering,Category - A
MIRAKHTER,Engineering,Category - A
MONNOAGML,Engineering,Category - B
NAHEEACP,Engineering,Category - B
NAVANACNG,Engineering,Category - Z
NPOLYMER,Engineering,Category - B
NTLTUBES,Engineering,Category - B
OAL,Engineering,Category - Z
OIMEX,Engineering,Category - Z
QUASEMIND,Engineering,Category - A
RANFOUNDRY,Engineering,Category - A
RENWICKJA,Engineering,Category - Z
RSRMSTEEL,Engineering,Category - Z
RUNNERAUTO,Engineering,Category - A
SALAMCRST,Engineering,Category - Z
SHURWID,Engineering,Category - Z
SINGERBD,Engineering,Category - A
SSSTEEL,Engineering,Category - Z
WALTONHIL,Engineering,Category - A
WMSHIPYARD,Engineering,Category - Z
YPL,Engineering,Category - Z
BAYLEASING,Financial Institutions,Category - Z
BDFINANCE,Financial Institutions,Category - Z
BIFC,Financial Institutions,Category - Z
DBH,Financial Institutions,Category - A
FAREASTFIN,Financial Institutions,Category - Z
FASFIN,Financial Institutions,Category - Z
FIRSTFIN,Financial Institutions,Category - Z
GSPFINANCE,Financial Institutions,Category - Z
ICB,Financial Institutions,Category - B
IDLC,Financial Institutions,Category - A
ILFSL,Financial Institutions,Category - Z
IPDC,Financial Institutions,Category - A
ISLAMICFIN,Financial Institutions,Category - Z
LANKABAFIN,Financial Institutions,Category - A
MIDASFIN,Financial Institutions,Category - Z
NHFIL,Financial Institutions,Category - A
PHOENIXFIN,Financial Institutions,Category - Z
PLFSL,Financial Institutions,Category - Z
PREMIERLEA,Financial Institutions,Category - Z
PRIMEFIN,Financial Institutions,Category - Z
UNIONCAP,Financial Institutions,Category - Z
UNITEDFIN,Financial Institutions,Category - A
UTTARAFIN,Financial Institutions,Category - Z
AMCL(PRAN),Food & Allied,Category - A
APEXFOODS,Food & Allied,Category - A
BANGAS,Food & Allied,Category - B
BATBC,Food & Allied,Category - A
BDTHAIFOOD,Food & Allied,Category - B
BEACHHATCH,Food & Allied,Category - Z
EMERALDOIL,Food & Allied,Category - Z
FINEFOODS,Food & Allied,Category - A
FUWANGFOOD,Food & Allied,Category - Z
GEMINISEA,Food & Allied,Category - Z
GHAIL,Food & Allied,Category - B
LOVELLO,Food & Allied,Category - A
MEGCONMILK,Food & Allied,Category - Z
MEGHNAPET,Food & Allied,Category - Z
NTC,Food & Allied,Category - Z
OLYMPIC,Food & Allied,Category - A
RAHIMAFOOD,Food & Allied,Category - B
RDFOOD,Food & Allied,Category - B
SHYAMPSUG,Food & Allied,Category - Z
UNILEVERCL,Food & Allied,Category - A
ZEALBANGLA,Food & Allied,Category - Z
AOL,Fuel & Power,Category - Z
BARKAPOWER,Fuel & Power,Category - Z
BDWELDING,Fuel & Power,Category - Z
BPPL,Fuel & Power,Category - B
CVOPRL,Fuel & Power,Category - A
DESCO,Fuel & Power,Category - Z
DOREENPWR,Fuel & Power,Category - A
EASTRNLUB,Fuel & Power,Category - A
EPGL,Fuel & Power,Category - B
GBBPOWER,Fuel & Power,Category - Z
INTRACO,Fuel & Power,Category - Z
JAMUNAOIL,Fuel & Power,Category - A
KPCL,Fuel & Power,Category - Z
LINDEBD,Fuel & Power,Category - A
LRBDL,Fuel & Power,Category - Z
MJLBD,Fuel & Power,Category - A
MPETROLEUM,Fuel & Power,Category - A
PADMAOIL,Fuel & Power,Category - A
POWERGRID,Fuel & Power,Category - Z
SPCL,Fuel & Power,Category - A
SUMITPOWER,Fuel & Power,Category - A
TITASGAS,Fuel & Power,Category - B
UPGDCL,Fuel & Power,Category - A
TB10Y0127,G-SEC (T.Bond),Category - N/A
TB10Y0130,G-SEC (T.Bond),Category - N/A
TB10Y0132,G-SEC (T.Bond),Category - N/A
TB10Y0135,G-SEC (T.Bond),Category - N/A
TB10Y0231,G-SEC (T.Bond),Category - N/A
TB10Y0234,G-SEC (T.Bond),Category - N/A
TB10Y0333,G-SEC (T.Bond),Category - N/A
TB10Y0335,G-SEC (T.Bond),Category - N/A
TB10Y0429,G-SEC (T.Bond),Category - N/A
TB10Y0434,G-SEC (T.Bond),Category - N/A
TB10Y0530,G-SEC (T.Bond),Category - N/A
TB10Y0531,G-SEC (T.Bond),Category - N/A
TB10Y0532,G-SEC (T.Bond),Category - N/A
TB10Y0535,G-SEC (T.Bond),Category - N/A
TB10Y0628,G-SEC (T.Bond),Category - N/A
TB10Y0629,G-SEC (T.Bond),Category - N/A
TB10Y0630,G-SEC (T.Bond),Category - N/A
TB10Y0632,G-SEC (T.Bond),Category - N/A
TB10Y0634,G-SEC (T.Bond),Category - N/A
TB10Y0726,G-SEC (T.Bond),Category - N/A
TB10Y0730,G-SEC (T.Bond),Category - N/A
TB10Y0731,G-SEC (T.Bond),Category - N/A
TB10Y0735,G-SEC (T.Bond),Category - N/A
TB10Y0829,G-SEC (T.Bond),Category - N/A
TB10Y0833,G-SEC (T.Bond),Category - N/A
TB10Y0932,G-SEC (T.Bond),Category - N/A
TB10Y1027,G-SEC (T.Bond),Category - N/A
TB10Y1030,G-SEC (T.Bond),Category - N/A
TB10Y1031,G-SEC (T.Bond),Category - N/A
TB10Y1128,G-SEC (T.Bond),Category - N/A
TB10Y1135,G-SEC (T.Bond),Category - N/A
TB10Y1229,G-SEC (T.Bond),Category - N/A
TB10Y1232,G-SEC (T.Bond),Category - N/A
TB15Y0127,G-SEC (T.Bond),Category - N/A
TB15Y0128,G-SEC (T.Bond),Category - N/A
TB15Y0129,G-SEC (T.Bond),Category - N/A
TB15Y0227,G-SEC (T.Bond),Category - N/A
TB15Y0228,G-SEC (T.Bond),Category - N/A
TB15Y0229,G-SEC (T.Bond),Category - N/A
TB15Y0326,G-SEC (T.Bond),Category - N/A
TB15Y0327,G-SEC (T.Bond),Category - N/A
TB15Y0328,G-SEC (T.Bond),Category - N/A
TB15Y0329,G-SEC (T.Bond),Category - N/A
TB15Y0339,G-SEC (T.Bond),Category - N/A
TB15Y0340,G-SEC (T.Bond),Category - N/A
TB15Y0426,G-SEC (T.Bond),Category - N/A
TB15Y0427,G-SEC (T.Bond),Category - N/A
TB15Y0428,G-SEC (T.Bond),Category - N/A
TB15Y0429,G-SEC (T.Bond),Category - N/A
TB15Y0431,G-SEC (T.Bond),Category - N/A
TB15Y0437,G-SEC (T.Bond),Category - N/A
TB15Y0526,G-SEC (T.Bond),Category - N/A
TB15Y0527,G-SEC (T.Bond),Category - N/A
TB15Y0528,G-SEC (T.Bond),Category - N/A
TB15Y0529,G-SEC (T.Bond),Category - N/A
TB15Y0535,G-SEC (T.Bond),Category - N/A
TB15Y0626,G-SEC (T.Bond),Category - N/A
TB15Y0627,G-SEC (T.Bond),Category - N/A
TB15Y0628,G-SEC (T.Bond),Category - N/A
TB15Y0629,G-SEC (T.Bond),Category - N/A
TB15Y0635,G-SEC (T.Bond),Category - N/A
TB15Y0637,G-SEC (T.Bond),Category - N/A
TB15Y0727,G-SEC (T.Bond),Category - N/A
TB15Y0728,G-SEC (T.Bond),Category - N/A
TB15Y0729,G-SEC (T.Bond),Category - N/A
TB15Y0730,G-SEC (T.Bond),Category - N/A
TB15Y0736,G-SEC (T.Bond),Category - N/A
TB15Y0826,G-SEC (T.Bond),Category - N/A
TB15Y0828,G-SEC (T.Bond),Category - N/A
TB15Y0829,G-SEC (T.Bond),Category - N/A
TB15Y0840,G-SEC (T.Bond),Category - N/A
TB15Y0926,G-SEC (T.Bond),Category - N/A
TB15Y0927,G-SEC (T.Bond),Category - N/A
TB15Y0928,G-SEC (T.Bond),Category - N/A
TB15Y0929,G-SEC (T.Bond),Category - N/A
TB15Y0930,G-SEC (T.Bond),Category - N/A
TB15Y0933,G-SEC (T.Bond),Category - N/A
TB15Y1026,G-SEC (T.Bond),Category - N/A
TB15Y1027,G-SEC (T.Bond),Category - N/A
TB15Y1028,G-SEC (T.Bond),Category - N/A
TB15Y1029,G-SEC (T.Bond),Category - N/A
TB15Y1126,G-SEC (T.Bond),Category - N/A
TB15Y1127,G-SEC (T.Bond),Category - N/A
TB15Y1128,G-SEC (T.Bond),Category - N/A
TB15Y1129,G-SEC (T.Bond),Category - N/A
TB15Y1133,G-SEC (T.Bond),Category - N/A
TB15Y1226,G-SEC (T.Bond),Category - N/A
TB15Y1227,G-SEC (T.Bond),Category - N/A
TB15Y1228,G-SEC (T.Bond),Category - N/A
TB20Y0128,G-SEC (T.Bond),Category - N/A
TB20Y0129,G-SEC (T.Bond),Category - N/A
TB20Y0131,G-SEC (T.Bond),Category - N/A
TB20Y0132,G-SEC (T.Bond),Category - N/A
TB20Y0133,G-SEC (T.Bond),Category - N/A
TB20Y0134,G-SEC (T.Bond),Category - N/A
TB20Y0143,G-SEC (T.Bond),Category - N/A
TB20Y0228,G-SEC (T.Bond),Category - N/A
TB20Y0229,G-SEC (T.Bond),Category - N/A
TB20Y0230,G-SEC (T.Bond),Category - N/A
TB20Y0231,G-SEC (T.Bond),Category - N/A
TB20Y0232,G-SEC (T.Bond),Category - N/A
TB20Y0233,G-SEC (T.Bond),Category - N/A
TB20Y0234,G-SEC (T.Bond),Category - N/A
TB20Y0328,G-SEC (T.Bond),Category - N/A
TB20Y0329,G-SEC (T.Bond),Category - N/A
TB20Y0330,G-SEC (T.Bond),Category - N/A
TB20Y0331,G-SEC (T.Bond),Category - N/A
TB20Y0332,G-SEC (T.Bond),Category - N/A
TB20Y0333,G-SEC (T.Bond),Category - N/A
TB20Y0334,G-SEC (T.Bond),Category - N/A
TB20Y0342,G-SEC (T.Bond),Category - N/A
TB20Y0428,G-SEC (T.Bond),Category - N/A
TB20Y0429,G-SEC (T.Bond),Category - N/A
TB20Y0430,G-SEC (T.Bond),Category - N/A
TB20Y0431,G-SEC (T.Bond),Category - N/A
TB20Y0432,G-SEC (T.Bond),Category - N/A
TB20Y0433,G-SEC (T.Bond),Category - N/A
TB20Y0434,G-SEC (T.Bond),Category - N/A
TB20Y0436,G-SEC (T.Bond),Category - N/A
TB20Y0528,G-SEC (T.Bond),Category - N/A
TB20Y0529,G-SEC (T.Bond),Category - N/A
TB20Y0530,G-SEC (T.Bond),Category - N/A
TB20Y0531,G-SEC (T.Bond),Category - N/A
TB20Y0532,G-SEC (T.Bond),Category - N/A
TB20Y0533,G-SEC (T.Bond),Category - N/A
TB20Y0534,G-SEC (T.Bond),Category - N/A
TB20Y0540,G-SEC (T.Bond),Category - N/A
TB20Y0545,G-SEC (T.Bond),Category - N/A
TB20Y0628,G-SEC (T.Bond),Category - N/A
TB20Y0629,G-SEC (T.Bond),Category - N/A
TB20Y0630,G-SEC (T.Bond),Category - N/A
TB20Y0631,G-SEC (T.Bond),Category - N/A
TB20Y0632,G-SEC (T.Bond),Category - N/A
TB20Y0633,G-SEC (T.Bond),Category - N/A
TB20Y0634,G-SEC (T.Bond),Category - N/A
TB20Y0639,G-SEC (T.Bond),Category - N/A
TB20Y0640,G-SEC (T.Bond),Category - N/A
TB20Y0641,G-SEC (T.Bond),Category - N/A
TB20Y0642,G-SEC (T.Bond),Category - N/A
TB20Y0727,G-SEC (T.Bond),Category - N/A
TB20Y0728,G-SEC (T.Bond),Category - N/A
